Year,State,County,Metro,FIPS2010,FMR0,Rent50,MedianIncome,FMRRentPercentInc,Rent50PercInc
2016,AL,Autauga County,1,100199999,565,602,60400,0.112251656,0.119602649
2016,AL,Baldwin County,1,100399999,719,770,61100,0.141211129,0.151227496
2016,AL,Barbour County,0,100599999,472,503,44600,0.126995516,0.135336323
2016,AL,Bibb County,1,100799999,613,666,64000,0.1149375,0.124875
2016,AL,Blount County,1,100999999,613,666,64000,0.1149375,0.124875
2016,AL,Bullock County,0,101199999,451,451,46100,0.117396963,0.117396963
2016,AL,Butler County,0,101399999,422,427,39500,0.128202532,0.129721519
2016,AL,Calhoun County,1,101599999,445,473,46700,0.114346895,0.121541756
2016,AL,Chambers County,0,101799999,426,467,42100,0.121425178,0.133111639
2016,AL,Cherokee County,0,101999999,422,485,47200,0.107288136,0.123305085
2016,AL,Chilton County,1,102199999,430,492,53500,0.096448598,0.11035514
2016,AL,Choctaw County,0,102399999,491,526,47100,0.125095541,0.134012739
2016,AL,Clarke County,0,102599999,468,468,46700,0.120256959,0.120256959
2016,AL,Clay County,0,102799999,439,439,44700,0.117852349,0.117852349
2016,AL,Cleburne County,0,102999999,470,498,47300,0.119238901,0.126342495
2016,AL,Coffee County,0,103199999,461,505,60500,0.091438017,0.100165289
2016,AL,Colbert County,1,103399999,477,504,54200,0.105608856,0.111586716
2016,AL,Conecuh County,0,103599999,422,422,32800,0.154390244,0.154390244
2016,AL,Coosa County,0,103799999,444,464,48000,0.111,0.116
2016,AL,Covington County,0,103999999,422,460,45000,0.112533333,0.122666667
2016,AL,Crenshaw County,0,104199999,422,422,50200,0.100876494,0.100876494
2016,AL,Cullman County,0,104399999,441,476,48800,0.108442623,0.11704918
2016,AL,Dale County,0,104599999,374,398,57600,0.077916667,0.082916667
2016,AL,Dallas County,0,104799999,409,409,39100,0.125524297,0.125524297
2016,AL,DeKalb County,0,104999999,447,464,49500,0.108363636,0.112484848
2016,AL,Elmore County,1,105199999,565,602,60400,0.112251656,0.119602649
2016,AL,Escambia County,0,105399999,468,482,37500,0.14976,0.15424
2016,AL,Etowah County,1,105599999,401,432,51200,0.093984375,0.10125
2016,AL,Fayette County,0,105799999,461,461,45200,0.122389381,0.122389381
2016,AL,Franklin County,0,105999999,450,453,47800,0.112970711,0.113723849
2016,AL,Geneva County,1,106199999,491,532,51300,0.114853801,0.124444444
2016,AL,Greene County,0,106399999,451,451,32600,0.16601227,0.16601227
2016,AL,Hale County,1,106599999,570,608,58800,0.116326531,0.124081633
2016,AL,Henry County,1,106799999,451,476,56200,0.096298932,0.101637011
2016,AL,Houston County,1,106999999,491,532,51300,0.114853801,0.124444444
2016,AL,Jackson County,0,107199999,462,491,48600,0.114074074,0.121234568
2016,AL,Jefferson County,1,107399999,613,666,64000,0.1149375,0.124875
2016,AL,Lamar County,0,107599999,461,461,43600,0.126880734,0.126880734
2016,AL,Lauderdale County,1,107799999,477,504,54200,0.105608856,0.111586716
2016,AL,Lawrence County,1,107999999,438,462,56200,0.093523132,0.098647687
2016,AL,Lee County,1,108199999,518,553,60800,0.102236842,0.109144737
2016,AL,Limestone County,1,108399999,525,564,71800,0.087743733,0.094261838
2016,AL,Lowndes County,1,108599999,565,602,60400,0.112251656,0.119602649
2016,AL,Macon County,0,108799999,422,443,42300,0.119716312,0.125673759
2016,AL,Madison County,1,108999999,525,564,71800,0.087743733,0.094261838
2016,AL,Marengo County,0,109199999,422,422,49400,0.102510121,0.102510121
2016,AL,Marion County,0,109399999,422,422,42800,0.118317757,0.118317757
2016,AL,Marshall County,0,109599999,430,460,50700,0.101775148,0.10887574
2016,AL,Mobile County,1,109799999,649,697,52900,0.147221172,0.158109641
2016,AL,Monroe County,0,109999999,448,448,37800,0.142222222,0.142222222
2016,AL,Montgomery County,1,110199999,565,602,60400,0.112251656,0.119602649
2016,AL,Morgan County,1,110399999,438,462,56200,0.093523132,0.098647687
2016,AL,Perry County,0,110599999,468,468,33000,0.170181818,0.170181818
2016,AL,Pickens County,1,110799999,403,417,39700,0.121813602,0.12604534
2016,AL,Pike County,0,110999999,481,517,47800,0.120753138,0.129790795
2016,AL,Randolph County,0,111199999,434,469,46300,0.112483801,0.121555076
2016,AL,Russell County,1,111399999,593,648,51800,0.137374517,0.15011583
2016,AL,St. Clair County,1,111599999,613,666,64000,0.1149375,0.124875
2016,AL,Shelby County,1,111799999,613,666,64000,0.1149375,0.124875
2016,AL,Sumter County,0,111999999,555,578,36500,0.182465753,0.190027397
2016,AL,Talladega County,0,112199999,422,460,46400,0.109137931,0.118965517
2016,AL,Tallapoosa County,0,112399999,461,482,48100,0.115010395,0.12024948
2016,AL,Tuscaloosa County,1,112599999,570,608,58800,0.116326531,0.124081633
2016,AL,Walker County,1,112799999,473,516,46300,0.122591793,0.133736501
2016,AL,Washington County,0,112999999,473,505,51700,0.109787234,0.1172147
2016,AL,Wilcox County,0,113199999,451,451,27400,0.197518248,0.197518248
2016,AL,Winston County,0,113399999,435,435,42200,0.123696682,0.123696682
2016,AK,Aleutians East Borough,0,201399999,662,713,69500,0.114302158,0.123107914
2016,AK,Aleutians West Census Area,0,201699999,927,986,89500,0.124290503,0.132201117
2016,AK,Anchorage Municipality,1,202099999,882,940,92900,0.113928956,0.121420883
2016,AK,Bethel Census Area,0,205099999,1020,1140,54600,0.224175824,0.250549451
2016,AK,Bristol Bay Borough,0,206099999,863,913,99000,0.104606061,0.110666667
2016,AK,Denali Borough,0,206899999,788,934,101700,0.092979351,0.11020649
2016,AK,Dillingham Census Area,0,207099999,790,840,57600,0.164583333,0.175
2016,AK,Fairbanks North Star Borough,1,209099999,759,805,93800,0.097100213,0.102985075
2016,AK,Haines Borough,0,210099999,647,670,70000,0.110914286,0.114857143
2016,AK,Hoonah-Angoon Census Area,0,210599999,485,505,61600,0.094480519,0.098376623
2016,AK,Juneau City and Borough,0,211099999,813,874,97600,0.099959016,0.107459016
2016,AK,Kenai Peninsula Borough,0,212299999,788,832,77700,0.121698842,0.128494208
2016,AK,Ketchikan Gateway Borough,0,213099999,736,778,87900,0.100477816,0.106211604
2016,AK,Kodiak Island Borough,0,215099999,743,801,75800,0.11762533,0.126807388
2016,AK,Lake and Peninsula Borough,0,216499999,612,665,55200,0.133043478,0.144565217
2016,AK,Matanuska-Susitna Borough,1,217099999,624,655,85700,0.087374562,0.091715286
2016,AK,Nome Census Area,0,218099999,849,954,48300,0.210931677,0.237018634
2016,AK,North Slope Borough,0,218599999,658,756,84700,0.09322314,0.107107438
2016,AK,Northwest Arctic Borough,0,218899999,960,1093,59400,0.193939394,0.220808081
2016,AK,Petersburg Census Area,0,219599999,634,657,87100,0.087347876,0.090516648
2016,AK,Prince of Wales-Hyder Census Area,0,219899999,760,801,54700,0.166727605,0.175722121
2016,AK,Sitka City and Borough,0,222099999,823,870,80100,0.12329588,0.130337079
2016,AK,Skagway Municipality,0,223099999,904,946,79500,0.13645283,0.142792453
2016,AK,Southeast Fairbanks Census Area,0,224099999,847,910,68100,0.149251101,0.160352423
2016,AK,Valdez-Cordova Census Area,0,226199999,845,918,90800,0.111674009,0.121321586
2016,AK,Wade Hampton Census Area,0,227099999,639,679,41800,0.183444976,0.19492823
2016,AK,Wrangell City and Borough,0,227599999,619,638,56700,0.131005291,0.135026455
2016,AK,Yakutat City and Borough,0,228299999,720,764,83000,0.104096386,0.110457831
2016,AK,Yukon-Koyukuk Census Area,0,229099999,591,617,48100,0.147442827,0.153929314
2016,AZ,Apache County,0,400199999,552,582,34300,0.193119534,0.20361516
2016,AZ,Cochise County,1,400399999,625,703,58400,0.128424658,0.144452055
2016,AZ,Coconino County,1,400599999,761,815,61300,0.148972268,0.15954323
2016,AZ,Gila County,0,400799999,636,680,50200,0.152031873,0.162549801
2016,AZ,Graham County,0,400999999,467,496,51900,0.107976879,0.114682081
2016,AZ,Greenlee County,0,401199999,507,530,49300,0.123407708,0.129006085
2016,AZ,La Paz County,0,401299999,527,555,43900,0.14405467,0.151708428
2016,AZ,Maricopa County,1,401399999,596,635,62900,0.113704293,0.121144674
2016,AZ,Mohave County,1,401599999,505,531,50100,0.120958084,0.127185629
2016,AZ,Navajo County,0,401799999,609,667,42200,0.173175355,0.189668246
