Year,State,Housing_Prices_Quarter,Community_Spending,Unexpected_Housing_Spending,Govt_Direct_Expenditure,Property_Rights,Number_Interest_Groups,No_Discrimination_Laws,Private_Fair_Housing,Public_Fair_Housing,Urban_Fair_Housing,Banned_Discrimination_Public_Housing,Banned_Discrimination_Private_Housing,Legislation_Public_Housing,Rent_Control,State_Aid_Allowed,Federal_Aid_Allowed,Prohibit_Rent_Control
1900-01-01,AK,0.6586,0.00086211,-0.00024724,0.589,0.045116212,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
1901-01-01,AK,0.6586,0.00086211,-0.00024724,0.589,0.045116212,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
1902-01-01,AK,0.6586,0.00086211,-0.00024724,0.589,0.045116212,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
1903-01-01,AK,0.6586,0.00086211,-0.00024724,0.589,0.045116212,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
1904-01-01,AK,0.6586,0.00086211,-0.00024724,0.589,0.045116212,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
1905-01-01,AK,0.6586,0.00086211,-0.00024724,0.589,0.045116212,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
1906-01-01,AK,0.6586,0.00086211,-0.00024724,0.589,0.045116212,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
1907-01-01,AK,0.6586,0.00086211,-0.00024724,0.589,0.045116212,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
1908-01-01,AK,0.6586,0.00086211,-0.00024724,0.589,0.045116212,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
1909-01-01,AK,0.6586,0.00086211,-0.00024724,0.589,0.045116212,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
1910-01-01,AK,0.6586,0.00086211,-0.00024724,0.589,0.045116212,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
1911-01-01,AK,0.6586,0.00086211,-0.00024724,0.589,0.045116212,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
1912-01-01,AK,0.6586,0.00086211,-0.00024724,0.589,0.045116212,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
1913-01-01,AK,0.6586,0.00086211,-0.00024724,0.589,0.045116212,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
1914-01-01,AK,0.6586,0.00086211,-0.00024724,0.589,0.045116212,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
1915-01-01,AK,0.6586,0.00086211,-0.00024724,0.589,0.045116212,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
1916-01-01,AK,0.6586,0.00086211,-0.00024724,0.589,0.045116212,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
1917-01-01,AK,0.6586,0.00086211,-0.00024724,0.589,0.045116212,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
1918-01-01,AK,0.6586,0.00086211,-0.00024724,0.589,0.045116212,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
1919-01-01,AK,0.6586,0.00086211,-0.00024724,0.589,0.045116212,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
1920-01-01,AK,0.6586,0.00086211,-0.00024724,0.589,0.045116212,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
1921-01-01,AK,0.6586,0.00086211,-0.00024724,0.589,0.045116212,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
1922-01-01,AK,0.6586,0.00086211,-0.00024724,0.589,0.045116212,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
1923-01-01,AK,0.6586,0.00086211,-0.00024724,0.589,0.045116212,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
1924-01-01,AK,0.6586,0.00086211,-0.00024724,0.589,0.045116212,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
1925-01-01,AK,0.6586,0.00086211,-0.00024724,0.589,0.045116212,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
1926-01-01,AK,0.6586,0.00086211,-0.00024724,0.589,0.045116212,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
