Year,Value
1913,9.8
1913,9.8
1913,9.8
1913,9.8
1913,9.7
1913,9.8
1913,9.9
1913,9.9
1913,10
1913,10
1913,10.1
1913,10
1914,10
1914,9.9
1914,9.9
1914,9.8
1914,9.9
1914,9.9
1914,10
1914,10.2
1914,10.2
1914,10.1
1914,10.2
1914,10.1
1915,10.1
1915,10
1915,9.9
1915,10
1915,10.1
1915,10.1
1915,10.1
1915,10.1
1915,10.1
1915,10.2
1915,10.3
1915,10.3
1916,10.4
1916,10.4
1916,10.5
1916,10.6
1916,10.7
1916,10.8
1916,10.8
1916,10.9
1916,11.1
1916,11.3
1916,11.5
1916,11.6
1917,11.7
1917,12
1917,12
1917,12.6
1917,12.8
1917,13
1917,12.8
1917,13
1917,13.3
1917,13.5
1917,13.5
1917,13.7
1918,14
1918,14.1
1918,14
1918,14.2
1918,14.5
1918,14.7
1918,15.1
1918,15.4
1918,15.7
1918,16
1918,16.3
1918,16.5
1919,16.5
1919,16.2
1919,16.4
1919,16.7
1919,16.9
1919,16.9
1919,17.4
1919,17.7
1919,17.8
1919,18.1
1919,18.5
1919,18.9
1920,19.3
1920,19.5
1920,19.7
1920,20.3
1920,20.6
1920,20.9
1920,20.8
1920,20.3
1920,20
1920,19.9
1920,19.8
1920,19.4
1921,19
1921,18.4
1921,18.3
1921,18.1
1921,17.7
1921,17.6
1921,17.7
1921,17.7
1921,17.5
1921,17.5
1921,17.4
1921,17.3
1922,16.9
1922,16.9
1922,16.7
1922,16.7
1922,16.7
1922,16.7
1922,16.8
1922,16.6
1922,16.6
1922,16.7
1922,16.8
1922,16.9
1923,16.8
1923,16.8
1923,16.8
1923,16.9
1923,16.9
1923,17
1923,17.2
1923,17.1
1923,17.2
1923,17.3
1923,17.3
1923,17.3
1924,17.3
1924,17.2
1924,17.1
1924,17
1924,17
1924,17
1924,17.1
1924,17
1924,17.1
1924,17.2
1924,17.2
1924,17.3
1925,17.3
1925,17.2
1925,17.3
1925,17.2
1925,17.3
1925,17.5
1925,17.7
1925,17.7
1925,17.7
1925,17.7
1925,18
1925,17.9
1926,17.9
1926,17.9
1926,17.8
1926,17.9
1926,17.8
1926,17.7
1926,17.5
1926,17.4
1926,17.5
1926,17.6
1926,17.7
1926,17.7
1927,17.5
1927,17.4
1927,17.3
1927,17.3
1927,17.4
1927,17.6
1927,17.3
1927,17.2
1927,17.3
1927,17.4
1927,17.3
1927,17.3
1928,17.3
1928,17.1
1928,17.1
1928,17.1
1928,17.2
1928,17.1
1928,17.1
1928,17.1
1928,17.3
1928,17.2
1928,17.2
1928,17.1
1929,17.1
1929,17.1
1929,17
1929,16.9
1929,17
1929,17.1
1929,17.3
1929,17.3
1929,17.3
1929,17.3
1929,17.3
1929,17.2
1930,17.1
1930,17
1930,16.9
1930,17
1930,16.9
1930,16.8
1930,16.6
1930,16.5
1930,16.6
1930,16.5
1930,16.4
1930,16.1
1931,15.9
1931,15.7
1931,15.6
1931,15.5
1931,15.3
1931,15.1
1931,15.1
1931,15.1
1931,15
1931,14.9
1931,14.7
1931,14.6
1932,14.3
1932,14.1
1932,14
1932,13.9
1932,13.7
1932,13.6
1932,13.6
1932,13.5
1932,13.4
1932,13.3
1932,13.2
1932,13.1
1933,12.9
1933,12.7
1933,12.6
1933,12.6
1933,12.6
1933,12.7
1933,13.1
1933,13.2
1933,13.2
1933,13.2
1933,13.2
1933,13.2
1934,13.2
1934,13.3
1934,13.3
1934,13.3
1934,13.3
1934,13.4
1934,13.4
1934,13.4
1934,13.6
1934,13.5
1934,13.5
1934,13.4
1935,13.6
1935,13.7
1935,13.7
1935,13.8
1935,13.8
1935,13.7
1935,13.7
1935,13.7
1935,13.7
1935,13.7
1935,13.8
1935,13.8
1936,13.8
1936,13.8
1936,13.7
1936,13.7
1936,13.7
1936,13.8
1936,13.9
1936,14
1936,14
1936,14
1936,14
1936,14
1937,14.1
1937,14.1
1937,14.2
1937,14.3
1937,14.4
1937,14.4
1937,14.5
1937,14.5
1937,14.6
1937,14.6
1937,14.5
1937,14.4
1938,14.2
1938,14.1
1938,14.1
1938,14.2
1938,14.1
1938,14.1
1938,14.1
1938,14.1
1938,14.1
1938,14
1938,14
1938,14
1939,14
1939,13.9
1939,13.9
1939,13.8
1939,13.8
1939,13.8
1939,13.8
1939,13.8
1939,14.1
1939,14
1939,14
1939,14
1940,13.9
1940,14
1940,14
1940,14
1940,14
1940,14.1
1940,14
1940,14
1940,14
1940,14
1940,14
1940,14.1
1941,14.1
1941,14.1
1941,14.2
1941,14.3
1941,14.4
1941,14.7
1941,14.7
1941,14.9
1941,15.1
1941,15.3
1941,15.4
1941,15.5
1942,15.7
1942,15.8
1942,16
1942,16.1
1942,16.3
1942,16.3
1942,16.4
1942,16.5
1942,16.5
1942,16.7
1942,16.8
1942,16.9
