,st,year,housing_prices_quar,ahcdpi,ahcdpia,ahcdspt,landfree,ig_cons,fhpub,fhurb,pubhouen,frent,regulation_housing_enabling_federal_aid,regulation_rent_control
0,AK,1900,,,,,,,,,,,,
1,AK,1901,,,,,,,,,,,,
2,AK,1902,,,,,,,,,,,,
3,AK,1903,,,,,,,,,,,,
4,AK,1904,,,,,,,,,,,,
5,AK,1905,,,,,,,,,,,,
6,AK,1906,,,,,,,,,,,,
7,AK,1907,,,,,,,,,,,,
8,AK,1908,,,,,,,,,,,,
9,AK,1909,,,,,,,,,,,,
10,AK,1910,,,,,,,,,,,,
11,AK,1911,,,,,,,,,,,,
12,AK,1912,,,,,,,,,,,,
13,AK,1913,,,,,,,0.0,0.0,0.0,,,
14,AK,1914,,,,,,,0.0,0.0,0.0,,,
15,AK,1915,,,,,,,0.0,0.0,0.0,,,
16,AK,1916,,,,,,,0.0,0.0,0.0,,,
17,AK,1917,,,,,,,0.0,0.0,0.0,,,
18,AK,1918,,,,,,,0.0,0.0,0.0,,,
19,AK,1919,,,,,,,0.0,0.0,0.0,,,
20,AK,1920,,,,,,,0.0,0.0,0.0,,,
21,AK,1921,,,,,,,0.0,0.0,0.0,,,
22,AK,1922,,,,,,,0.0,0.0,0.0,,,
23,AK,1923,,,,,,,0.0,0.0,0.0,,,
24,AK,1924,,,,,,,0.0,0.0,0.0,,,
25,AK,1925,,,,,,,0.0,0.0,0.0,,,
26,AK,1926,,,,,,,0.0,0.0,0.0,,,
27,AK,1927,,,,,,,0.0,0.0,0.0,,,
28,AK,1928,,,,,,,0.0,0.0,0.0,,,
29,AK,1929,,,,,,,0.0,0.0,0.0,,,
30,AK,1930,,,,,,,0.0,0.0,0.0,,,
31,AK,1931,,,,,,,0.0,0.0,0.0,,,
32,AK,1932,,,,,,,0.0,0.0,0.0,,,
33,AK,1933,,,,,,,0.0,0.0,0.0,,,
34,AK,1934,,,,,,,0.0,0.0,0.0,,,
35,AK,1935,,,,,,,0.0,0.0,0.0,,,
36,AK,1936,,,,,,,0.0,0.0,0.0,,,
37,AK,1937,,,,,,,0.0,0.0,0.0,,,
38,AK,1938,,,,,,,0.0,0.0,0.0,,,
39,AK,1939,,,,,,,0.0,0.0,0.0,,,
40,AK,1940,,,,,,,0.0,0.0,0.0,,,
41,AK,1941,,,,,,,0.0,0.0,0.0,,,
42,AK,1942,,,,,,,0.0,0.0,0.0,,,
43,AK,1943,,,,,,,0.0,0.0,0.0,,,
44,AK,1944,,,,,,,0.0,0.0,0.0,,,
45,AK,1945,,,,,,,0.0,0.0,0.0,,,
46,AK,1946,,,,,,,0.0,0.0,0.0,,,
47,AK,1947,,,,,,,0.0,0.0,0.0,,,
48,AK,1948,,,,,,,0.0,0.0,0.0,,,
