zcta5,stab,zipname,pop10
ZIP census tabulation area,State abbreviation,ZCTA name,Population (2010)
1001,MA,"Agawam Town, MA",16769
1002,MA,"Amherst Center, MA",29049
1003,MA,"Amherst Center, MA",10372
1005,MA,"Barre, MA",5079
1007,MA,"Belchertown, MA",14649
1008,MA,"Blandford, MA",1263
1009,MA,"Palmer Town, MA",741
1010,MA,"Brimfield, MA",3609
1011,MA,"Chester, MA",1370
1012,MA,"Chesterfield, MA",661
1013,MA,"Chicopee, MA",23188
1020,MA,"Chicopee, MA",29668
1022,MA,"Chicopee, MA",2451
1026,MA,"Cummington, MA",946
1027,MA,"Easthampton Town, MA",17660
1028,MA,"East Longmeadow, MA",15720
1029,MA,"East Otis, MA (PO Boxes)",789
1030,MA,"Agawam Town, MA",11669
1031,MA,"Gilbertville, MA",1308
1032,MA,"Goshen, MA",570
1033,MA,"Granby, MA",6227
1034,MA,"Granville, MA",2021
1035,MA,"Hadley, MA",5250
1036,MA,"Hampden, MA",5109
1037,MA,"Hardwick, MA (PO Boxes)",838
1038,MA,"Hatfield, MA",2545
1039,MA,"Haydenville, MA",1336
1040,MA,"Holyoke, MA",39880
1050,MA,"Huntington, MA",2530
1053,MA,"Northampton, MA",1685
1054,MA,"Leverett, MA",1851
1056,MA,"Ludlow, MA",21103
1057,MA,"Monson, MA",8534
1060,MA,"Northampton, MA",15284
1062,MA,"Northampton, MA",11150
1063,MA,"Northampton, MA",430
1066,MA,"North Hatfield, MA (PO Boxes)",64
1068,MA,"Oakham, MA",1902
1069,MA,"Palmer Town, MA",8469
1070,MA,"Plainfield, MA",629
1071,MA,"Russell, MA",1596
1072,MA,"Shutesbury, MA",1478
1073,MA,"Southampton, MA",5792
1074,MA,"South Barre, MA (PO Boxes)",319
1075,MA,"South Hadley, MA",17527
1077,MA,"Southwick, MA",9502
1079,MA,"Palmer Town, MA",692
1080,MA,"Palmer Town, MA",2334
1081,MA,"Wales, MA",1698
1082,MA,"Ware, MA",10322
1083,MA,"Warren, MA (PO Boxes)",2888
1084,MA,"West Chesterfield, MA (PO Boxes)",176
1085,MA,"Westfield, MA",41117
1086,MA,"Westfield, MA",687
1088,MA,"West Hatfield, MA",670
1089,MA,"West Springfield Town, MA",28391
1092,MA,"West Warren, MA (PO Boxes)",1394
1093,MA,"Whately, MA (PO Boxes)",325
1094,MA,"Wheelwright, MA (PO Boxes)",351
1095,MA,"Wilbraham, MA",14319
1096,MA,"Williamsburg, MA",2217
1097,MA,"Woronoco, MA",111
1098,MA,"Worthington, MA",1101
1103,MA,"Springfield, MA",2479
1104,MA,"Springfield, MA",22865
1105,MA,"Springfield, MA",12350
1106,MA,"Longmeadow, MA",16021
1107,MA,"Springfield, MA",11611
1108,MA,"Springfield, MA",26688
1109,MA,"Springfield, MA",30250
1118,MA,"Springfield, MA",14071
1119,MA,"Springfield, MA",14152
1128,MA,"Springfield, MA",2631
1129,MA,"Springfield, MA",7019
1151,MA,"Springfield, MA",8698
1201,MA,"Pittsfield, MA",46504
1220,MA,"Adams, MA",8603
1222,MA,"Ashley Falls, MA",829
1223,MA,"Becket, MA",2314
1224,MA,"Berkshire, MA",182
1225,MA,"Cheshire, MA",3117
1226,MA,"Dalton, MA",6945
1229,MA,"Glendale, MA (PO Boxes)",95
1230,MA,"Great Barrington, MA",8430
1235,MA,"Hinsdale, MA",2766
1236,MA,"Housatonic, MA",1509
1237,MA,"Lanesboro, MA",2496
1238,MA,"Lee, MA",6047
1240,MA,"Lenox, MA",4534
1242,MA,"Lenox Dale, MA (PO Boxes)",476
1243,MA,"Middlefield, MA (PO Boxes)",334
1244,MA,"Mill River, MA (PO Boxes)",151
1245,MA,"Monterey, MA",985
1247,MA,"North Adams, MA",16087
1253,MA,"Otis, MA",731
1254,MA,"Richmond, MA",972
1255,MA,"Sandisfield, MA",915
1256,MA,"Savoy, MA",692
1257,MA,"Sheffield, MA",2121
1258,MA,"South Egremont, MA",374
1259,MA,"Southfield, MA",635
1260,MA,"South Lee, MA (PO Boxes)",240
1262,MA,"Stockbridge, MA (PO Boxes)",1238
1264,MA,"Tyringham, MA",137
1266,MA,"West Stockbridge, MA",1463
1267,MA,"Williamstown, MA",7989
1270,MA,"Windsor, MA",778
1301,MA,"Greenfield Town, MA",17700
1330,MA,"Ashfield, MA",1506
1331,MA,"Athol, MA",13263
1337,MA,"Bernardston, MA",2596
1338,MA,"Buckland, MA",187
1339,MA,"Charlemont, MA",1438
1340,MA,"Colrain, MA",1701
1341,MA,"Conway, MA",1833
1342,MA,"Deerfield, MA",1492
1343,MA,"Drury, MA",75
1344,MA,"Erving, MA",1498
1346,MA,"Heath, MA",533
1347,MA,"Lake Pleasant, MA (PO Boxes)",166
1349,MA,"Millers Falls, MA",1091
1350,MA,"Monroe Bridge, MA (PO Boxes)",121
1351,MA,"Montague, MA",2270
1354,MA,"Gill, MA",1500
1355,MA,"New Salem, MA",878
1360,MA,"Northfield, MA",3032
1364,MA,"Orange, MA",7969
1366,MA,"Petersham, MA",1277
